adresse;lat;lon
Boulevard Barbès, boulevard de Rochechouart;48.8838548;2.3494771
Rue Euryale Dehaynin, rue Tandou;48.885713;2.3783368
Rue Gaston Rebuffat, rue de Kabylie;48.8848334;2.368182
Rue Bellot, rue d'Aubervilliers;48.8863964;2.3665468
Boulevard Macdonald, quai de la Gironde;48.8988761;2.3816695
Avenue de Saint-Ouen, avenue de Clichy;48.8874983;2.3255897
Rue Saint-Antoine, rue de Sévigné;48.855084;2.3616775
Boulevard Poniatowski, rue Claude Decaen;48.83340985;2.40219765
Place d'Italie, boulevard Vincent Auriol;48.8313813;2.35689036666667
Place d'Iéna, avenue d'Iéna;48.8649246;2.2940525
Rue de Bagnolet, rue des Balkans;48.8617912;2.4058065
Rue de Bagnolet, rue des Orteaux;48.8570723;2.398131
Rue Saint-Blaise, square des Cardeurs;48.8582;2.4068875
Rue des Frères Flavien, avenue du Docteur Gley;48.8767956;2.4120083
Avenue Victor Hugo, rue de Presbourg;48.8729720666667;2.2931356
Rue des Tourelles, passage des Tourelles;48.8747445;2.40456785
Rue Duris, rue des Cendriers;48.8657394;2.3875096
Rue Vitruve, rue des Orteaux;48.8565584;2.4022301
Rue Duroc, boulevard des Invalides;48.84826985;2.3157321
Boulevard Saint-Germain, quai de la Tournelle;48.8494029;2.3567895
Rue Lamarck, rue du Chevalier de la Barre;48.8875305;2.3445272
Place de la Bourse, rue Vivienne, rue Feydeau;48.8692109;2.34026636666667
Rue Oberkampf, boulevard de Belleville;48.8670053;2.3828597
Place d'Estienne d'Orves, rue Saint-Lazare;48.8762484;2.33179065
Rue de Châteaudun, rue Saint-Georges;48.8760607;2.3371321
Rue de la Pompe, avenue Henri Martin;48.8640384;2.27746
Rue Réaumur, boulevard de Sébastopol;48.86623205;2.3525252
Rue de Babylone, rue Barbet de Jouy;48.8517612;2.3171235
Rue Curial, rue Colette Magny;48.8955192;2.3751767
Rue du Temple, rue Rambuteau;48.8606548;2.3551551
Boulevard Victor, rue Lecourbe;48.8353559;2.28099
Boulevard de Strasbourg, boulevard de Magenta;48.87480355;2.3574362
Rue des Saints-Pères, boulevard Saint-Germain;48.8544657;2.3304702
Place Blanche, boulevard de Clichy, rue Lepic;48.8838686375;2.33245035
Rue Drouot, rue La Fayette, rue du Faubourg Montmartre;48.8750797;2.3409069
Rue des Amandiers, rue des Cendriers;48.8662972;2.3896527
Rue Compans, place des Fêtes;48.8774953;2.3937977
Rue de Crimée, avenue de Flandre;48.890662;2.37673
Rue René Binet, rue Fernand Labori;48.8992748;2.3423571
Boulevard de Courcelles, boulevard Malesherbes;48.8808474;2.3125429
Rue d'Alsace-Lorraine, rue Gaston Pinot;48.8834087;2.3922086
Rue d'Assas, rue de Rennes;48.8489755;2.3287367
Rue de Gramont, boulevard des Italiens;48.8714611;2.3370259
Rue Juliette Dodu, avenue Claude Vellefaux;48.8740351;2.3703336
Rue de Dunkerque, rue de Compiègne;48.88021005;2.35367165
Avenue de Versailles, boulevard Exelmans;48.8407685333333;2.26512986666667
Rue de Turbigo, rue des Fontaines du Temple;48.8659179;2.3580936
Rue du Faubourg du Temple, avenue Parmentier;48.8699927;2.3710329
Rue du Faubourg Poissonnière, rue du Delta;48.8823973;2.3496702
Quai de la Marne, rue de Crimée;48.88818;2.3796279
Boulevard de Magenta, rue La Fayette;48.8785378;2.3538871
Boulevard de la Tour Maubourg, avenue de Tourville;48.8539940666667;2.30954653333333
Rue Péan, boulevard Masséna;48.82225235;2.37166845
Rue Stephenson, rue de Laghouat;48.888006;2.3562029
Place de l'Hôtel de Ville, avenue Victoria;48.8567676;2.3510829
Rue d'Assas, rue Auguste Comte;48.8443847;2.3328866
Boulevard Saint-Germain, rue de Bellechasse;48.8585104;2.3231292
Rue d'Alsace, rue du 8 Mai 1945;48.8762777;2.3574369
Boulevard Beaumarchais, rue Saint-Sébastien;48.8606498;2.3673344
Avenue Parmentier, rue Oberkampf;48.8650641;2.3747379
Rue de Charonne, avenue Ledru-Rollin;48.8532731;2.3772848
Rue de Sèvres, rue du Bac;48.8502335;2.32414
Place Henri Frenay, rue Roland Barthes;48.844556;2.3773117
Quai François Mauriac, passerelle Simone de Beauvoir;48.8345326957541;2.37675026552141
Quai de Conti, pont Neuf;48.8561313;2.3404015
Rue de la Coutellerie, avenue Victoria;48.8572365;2.3495508
Place de la Bourse, rue du Quatre Septembre;48.8689122;2.3401064
Rue Boulay, rue de la Jonquière;48.8948384;2.3184424
Rue du Cardinal Lemoine, rue Monge;48.8466037;2.3516349
Avenue Philippe Auguste, boulevard de Charonne;48.85832448;2.38975308
Avenue du Maréchal Galliéni, rue de l'Université;48.8610518;2.3132382
Rue d'Alésia, rue de la Tombe Issoire;48.8278106;2.3325261
Pont Charles de Gaulle, quai de la Rapée;48.8431945;2.370327
Avenue Victor Hugo, place Victor Hugo;48.8697071666667;2.2854218
Boulevard Sérurier, rue de Périgueux;48.8846143;2.3945146
Rue Pierre Lescot, rue de Turbigo;48.8637682;2.3491066
Rue Chauchat, rue Rossini;48.8730447;2.3394966
Place du Général Cochet, boulevard Sérurier;48.8865484;2.394123025
Place Claude Bourdet, rue des Cordelières, rue Corvisart;48.8328182;2.3471826
Rue Ordener, rue des Poissonniers;48.8911829;2.351628
Rue Sedaine, boulevard Richard Lenoir;48.855449;2.3704872
Avenue de la Grande Armée, rue de Tilsitt;48.87442665;2.29299195
Rue Petit, passage du Sud;48.8848321;2.3819704
Rue d'Ankara, avenue du Président Kennedy;48.8545368;2.2835924
Rue Réaumur, rue de Turbigo;48.86545485;2.356127175
Rue de Paradis, rue du Faubourg Poissonnière;48.8757887;2.3482432
Rue de Sambre et Meuse, rue Sainte-Marthe;48.8745461;2.3732122
Rue des Entrepreneurs, rue du Commerce;48.8436769;2.293009
Rue Royale, rue Saint-Honoré;48.8683824;2.3232684
Rue de Ponthieu, rue Paul Baudry;48.8717902;2.3061228
Avenue Gambetta, rue Pelleport;48.8683061;2.4014206
Boulevard Auguste Blanqui, rue de la Santé;48.8318921;2.34112648
Avenue du Général Sarrail, boulevard d'Auteuil;48.8454249;2.2559052
Boulevard Raspail, rue de Varenne;48.8533882;2.3262995
Boulevard Sérurier, rue des Bois;48.8787345;2.40134
Rue Jacob, rue des Saints-Pères;48.8563151;2.3316717
Quai Branly, pont d'Iéna;48.8590478011001;2.29316884223752
Boulevard de Sébastopol, rue de Turbigo;48.8643865428571;2.35151361428571
Rue Léon, rue Cavé;48.8867347;2.3534361
Avenue de la Porte d'Orléans, boulevard Romain Rolland;48.8198018;2.3257586
Place de Clichy, avenue de Clichy;48.8836682;2.3273611
Boulevard Raspail, boulevard du Montparnasse;48.8420199;2.32957174
Boulevard du Montparnasse, rue de l'Arrivée;48.84412805;2.3230894
Boulevard de la Chapelle, rue du Faubourg Saint-Denis;48.8843133;2.3592911
Boulevard de Charonne, rue d'Avron;48.8513509;2.3985713
Rue Charlemagne, rue des Jardins Saint-Paul;48.8540373;2.3611048
Cours de Vincennes, avenue du Docteur Arnold Netter;48.8472687666667;2.4062888
Rue de Steinkerque, boulevard de Rochechouart;48.8829160666667;2.3438697
Rue Jean Dolent, rue Messier;48.8337827;2.3380526
Rue Davy, rue Legendre;48.8910324;2.3252198
Rue de Sèvres, boulevard Raspail;48.85157;2.326811
Boulevard Arago, rue du Faubourg Saint-Jacques;48.834607;2.3369678
Boulevard Voltaire, rue du Chemin Vert;48.8597514;2.3768492
Rue Garancière, rue Saint-Sulpice;48.8513168;2.3357195
Place Marcel Cerdan, boulevard de Grenelle, rue Humblot;48.8508069;2.29240538
Rue Yvonne le Tac, rue Chappe, rue Tardieu;48.8839931;2.3414489
Avenue de la République, rue Saint-Maur;48.8646104;2.3780233
Rue de Cambrai, rue Benjamin Constant;48.8959517;2.3813082
Rue de Rivoli, rue du 29 Juillet;48.864454;2.3301511
Place des Ternes, boulevard de Courcelles;48.8783166333333;2.29857883333333
Rue de Bagnolet, rue des Pyrénées;48.8591448;2.4021238
Rue du Faubourg Saint-Martin, rue du 8 mai 1945;48.8759077;2.35974396666667
Quai de Jemmapes, boulevard Jules Ferry;48.8688362;2.3676123
Place Raoul Dautry, boulevard de Vaugirard, rue de l'Arrivée;48.8418633;2.3199362
Place Gambetta, avenue Gambetta;48.8648888;2.3983194
Avenue du Général Lemonnier, rue de Rivoli;48.8637366666667;2.33207793333333
Rue de Douai, place Adolphe Max;48.8832947;2.3304302
Rue de la Verrerie, rue du Renard;48.8583695;2.3518767
Avenue Daumesnil, rue de Rambouillet;48.84427935;2.3815314
Avenue de la Porte des Ternes, rue Gustave Charpentier;48.8815087;2.2817888
Boulevard Voltaire, rue de Charonne;48.8547007;2.3853169
Quai de Valmy, rue Louis Blanc;48.87988;2.3673727
Quai de l'Archevêché, pont de l'Archevêché;48.8517985;2.3517259
Avenue des Gobelins, boulevard Saint-Marcel;48.836787;2.3518495
Boulevard Malesherbes, place de la Madeleine;48.8698875285714;2.32355184285714
Rue Léon, rue Doudeauville;48.8884808;2.3535674
Place Pigalle, rue Jean-Baptiste Pigalle;48.8819811;2.3371854
Rue du Château Landon, rue Louis Blanc;48.8821487333333;2.36323903333333
Rue George Bernard Shaw, rue Leroi Gourhan;48.8518667;2.2937289
Avenue du Maine, rue du Départ;48.8411567;2.3215283
Rue des Pyrénées, rue d'Avron;48.8526951;2.4061085
Rue Marcadet, rue Damrémont;48.891664;2.3349628
Place de la Concorde, rue de Rivoli;48.86634065;2.3234727
Rue Ferdinand Duval, rue des Rosiers;48.8569272;2.3599122
Quai de Valmy, rue Lucien Sampaix, rue Recollet;48.8744553;2.3628134
Avenue de la Porte d'Orléans, place du 25 août 1944;48.8219121;2.3253913
Avenue Georges Mandel, rue Decamps;48.8639065;2.279454
Avenue de Suffren, avenue Joseph Bouvard;48.85453905;2.2956351
Rue Poulet, rue Dejean;48.8875461;2.3500237
Avenue Carnot, rue de Tilsitt;48.8750466;2.2938821
Rue Polonceau, rue des Gardes;48.8857038;2.3529732
Boulevard Saint-Germain, rue Saint-Jacques;48.85080445;2.34552285
Rue de la Croix Nivert, rue Desnouettes;48.8358091;2.2896988
Boulevard Richard Lenoir, rue Saint-Sabin;48.8567871;2.37050115
Rue Vercingétorix, rue d'Alésia;48.83274144;2.3115283
Rue du Ranelagh, avenue du Président Kennedy;48.8527069;2.2806685
Avenue de la Porte Chaumont, boulevard d'Indochine;48.886202775;2.39643815
Boulevard de Charonne, avenue de Taillebourg;48.8502833;2.39857985
Avenue de Tourville, avenue de Ségur;48.8538192;2.3122009
Rue Drouot, rue Rossini;48.8728349;2.340456
Boulevard de Strasbourg, rue du Château d'Eau;48.8722812;2.3558801
Avenue de Tourville, avenue de Villars;48.8537923;2.3127196
Avenue Maurice d'Ocagne, avenue Georges Lafenestre;48.82508935;2.31121665
Place Prosper Goubaux, boulevard des Batignolles;48.88131955;2.3164985
Rue de la Comète, rue de Grenelle;48.8580286;2.3093353
Rue Pavée, rue du Roi de Sicile;48.8557079;2.3602088
Rue du Faubourg Saint-Martin, boulevard de Magenta;48.8737684;2.35831476
Rue Saint-Honoré, place Vendôme;48.8666152;2.3285827
Rue de Châteaudun, rue La Fayette;48.8756741;2.3431434
Place Paul Léautaud, boulevard Berthier;48.88722905;2.29795545
Avenue Daumesnil, boulevard Diderot;48.8463109;2.37733003636364
Avenue de France, boulevard Vincent Auriol;48.83624565;2.371460525
Boulevard Saint-Marcel, boulevard de l'Hôpital;48.8399432333333;2.36174453333333
Boulevard des Invalides, rue de Grenelle;48.8579538;2.3151145
Rue de Saussure, boulevard Pereire;48.8878424;2.3110955
Avenue Bosquet, rue du Champ de Mars;48.856203625;2.304791275
Quai de l'Hôtel de Ville, Pont d'Arcole;48.855984;2.3509036
Rue de Tolbiac, avenue de Choisy;48.8261646;2.3599561
Boulevard Voltaire, boulevard Richard Lenoir;48.8626735812644;2.37194115144527
Rue de la Chaussée d'Antin, rue Halévy;48.8729517;2.3333015
Rue de Maubeuge, rue Ambroise Paré;48.88177505;2.35418485
Rue du Bac, rue de Varenne;48.85399;2.3238573
Rue Balard, rue Saint-Charles;48.8383937;2.2783782
Rue François Truffaut, rue de l'Ambroisie;48.8335761;2.3863417
Rue Robert Houdin, rue du Faubourg du Temple;48.8713825;2.3750774
Rue Saint-Lazare, rue d'Amsterdam;48.8755751;2.3266902
Rue du Château d'Eau, boulevard de Magenta;48.8689227666667;2.36253473333333
Boulevard Diderot, rue de Picpus;48.8480645333333;2.3928274
Place de Mexico, avenue d'Eylau;48.8653685;2.2833738
Pont de Tolbiac, quai François Mauriac;48.8322388;2.3797778
Place du Tertre, place Jean Marais;48.8866273135544;2.34110106456209
Rue Monsigny, rue du Quatre Septembre, rue de Choiseul;48.8697226;2.3358124
Rue des Longues Raies, boulevard Kellermann;48.82106395;2.35061391666667
Rue de Moscou, rue d'Amsterdam;48.8796403;2.3270201
Rue de l'Ourcq, rue Curial;48.8938422;2.3733804
Boulevard Masséna, avenue de la Porte d'Ivry;48.82147238;2.3694106
Rue de Vaugirard, boulevard Raspail;48.8474056;2.328122
Rue de Provence, rue de Caumartin;48.8742024;2.3283916
Avenue Jean Jaurès, avenue de Laumière;48.8851679;2.3793648
Rue du Poteau, boulevard Ney;48.8977065;2.3375039
Place de la Nation, boulevard Diderot;48.848242625;2.39463905
Rue de Caumartin, boulevard Haussmann;48.8736139;2.32834955
Place de la Bastille, boulevard Beaumarchais;48.8537513;2.3690652
Quai de Bercy, pont de Tolbiac;48.833616852056;2.38229252499528
Avenue Gambetta, rue Saint-Fargeau, rue Haxo;48.8717185;2.4043625
Place du Panthéon, rue d'Ulm, rue Clotaire;48.8456867;2.3458936
Avenue Bosquet, rue de Grenelle;48.8571261333333;2.30430386666667
Rue Jeanne d'Arc, boulevard Saint-Marcel;48.8383857666667;2.3569133
Rue de Rivoli, boulevard de Sébastopol;48.85852962;2.3481556
Avenue Jean Jaurès, rue Armand Carrel;48.883094;2.3714466
Place du Puits de L'Ermite, rue de Quatrefages;48.8423958;2.3544919
Rue Coquillière, rue du Louvre;48.863896;2.3423575
Avenue Joseph Bédier, rue Maryse Bastié;48.8205716;2.373692
Boulevard Voltaire, rue Saint-Ambroise;48.8609866;2.3747721
Boulevard Auguste Blanqui, rue de la Glacière;48.83096015;2.34419005
Rue Alexandre Dumas, boulevard de Charonne;48.8543249285714;2.3959764
Boulevard du Palais, quai des Orfèvres;48.8543446;2.3448946
Boulevard des Invalides, avenue de Tourville;48.8536931;2.314733
Place du 18 Juin 1940, rue de Rennes;48.8441938;2.3241831
Boulevard Raspail, boulevard Saint-Germain;48.8561286857143;2.32567652857143
Rue de l'Université, rue de Constantine;48.8609738;2.3149665
Avenue Duquesne, avenue de Ségur;48.8517333;2.310046
Rue de la Jonquière, Villa Sainte-Croix;48.8935331;2.3242719
Rue Platon, rue Falguière;48.8376095;2.310973
Passage Saint-Ange, rue Jean Leclaire;48.8965734;2.327181
Boulevard des Italiens, rue de la Michodière;48.8710845;2.3348
Quai Anatole France, Pont Royal;48.8595543;2.3292843
Rue Ramponeau, rue de Tourtille;48.8715607;2.381079
Rue Réaumur, rue Saint-Martin;48.865977;2.353766
Rue Regnault, rue du Château des Rentiers;48.8233653;2.3709062
Rue Léon Lhermitte, rue Gustave Larroumet;48.8428697;2.2965239
Rue de Maubeuge, rue de Rochechouart;48.8783464;2.3450231
Boulevard Poissonnière, rue Poissonnière;48.8706755;2.3478915
Boulevard de Rochechouart, rue de Clignancourt;48.8835576;2.3469998
Boulevard Diderot, rue de Bercy;48.845501025;2.371097525
Rue du Commandant Guilbaud, avenue de la Porte de Saint-Cloud;48.8386623;2.2517664
Quai de Valmy, rue de Lancry;48.8729141;2.3637458
Rue du Cygne, rue Saint-Denis;48.86311;2.3497538
Boulevard de Clichy, boulevard de Rochechouart;48.8820593555556;2.33964678888889
Rue de Passy, Chaussée de la Muette;48.8581705;2.2748549
Rue Polonceau, rue des Poissonniers;48.8859787;2.350098
Boulevard Saint-Denis, boulevard de Strasbourg;48.8693003;2.3543185
Rue Adolphe Mille, avenue Jean Jaurès;48.88780255;2.3892571
Boulevard Vincent Auriol, quai d'Austerlitz;48.83754605;2.37359745
Boulevard Saint-Germain, rue de Solférino;48.859024175;2.3226495
Rue de la Chapelle, rue du Pré;48.897119;2.3593092
Place de la Concorde, rue Royale;48.8667922;2.3220888
Boulevard de la Chapelle, rue de Maubeuge;48.884049;2.3555506
Boulevard du Montparnasse, avenue de l'Observatoire;48.8396975555555;2.33661333333333
Rue de Bretagne, rue de Turenne;48.8619196;2.3646111
Rue Saint-Sulpice, rue de Tournon;48.8514647;2.3370565
Boulevard de la Chapelle, rue d'Aubervilliers;48.8844333404612;2.36472618962257
Rue de Dunkerque, rue La Fayette;48.8796152;2.35822343333333
Rue de l'Université, boulevard Saint-Germain;48.860002575;2.3216933
Rue Saint-Victor, rue de Pontoise;48.8483471;2.3508761
Rue Riquet, rue d'Aubervilliers;48.88970205;2.3680812875
Rue de la Convention, rue de Vaugirard;48.8372281;2.2964564
Rue du Château Landon, rue du Faubourg Saint-Martin;48.8789295;2.3623042
Boulevard Ney, rue d'Aubervilliers;48.8987232;2.3702433
Rue Caulaincourt, rue du Mont Cenis;48.8897924;2.3429434
Rue Lecourbe, rue Cambronne;48.8426148;2.3026831
Place du Châtelet, avenue Victoria;48.8578925;2.3471833
Rue de Clignancourt, rue Marcadet;48.8904194;2.3484518
Rue Messier, boulevard Arago;48.8346635;2.3382128
Cours de Vincennes, boulevard de Charonne;48.8483247;2.399169925
Rue de la Reynie, boulevard de Sébastopol;48.8600734;2.3490462
Boulevard de la Chapelle, rue Marx Dormoy;48.884539;2.359327725
Rue Ordener, rue Championnet, rue Vauvenargues;48.8941786;2.3326147
Rue Ordener, rue Damrémont;48.8936311;2.3363575
Rue Pierre Lescot, rue de la Cossonnerie;48.8616019;2.348033
Boulevard Poniatowski, rue de Charenton;48.8318262;2.3976868
Rue du Ruisseau, rue du Poteau;48.8948242;2.3407547
Rue Faidherbe, rue du Faubourg Saint-Antoine;48.8500901666667;2.38459056666667
Avenue de la Porte de Clichy, boulevard Bessières;48.8944322;2.3134665
Boulevard Diderot, rue Pierre Bourdan;48.8477817;2.3905698
Place de la République, rue du Temple;48.86733315;2.36339605
Boulevard Vincent Auriol, rue Nationale;48.832738;2.3621754
Avenue du Maine, rue Froidevaux;48.8375422;2.3229413
Avenue de la Porte Pouchet, boulevard Bessières;48.89760212;2.32310092
Allée de Longchamp, route des Moulins;48.8654148;2.2449882
Rue de Lobau, rue de Rivoli;48.856917;2.3538291
Rue Jean-Pierre Timbaud, rue Moret, rue de Vaucouleurs;48.8679881;2.378568
Place du Colonel Fabien, rue de la Grange aux Belles;48.8777232;2.3700626
Rue Desnouettes, boulevard Victor;48.83446575;2.2840798
Place Suzanne Valadon, rue Tardieu;48.8842866;2.3425333
Rue de la Convention, rue de la Croix Nivert;48.8399897;2.2903618
Rue de Courcelles, boulevard Haussmann;48.8750336;2.3091818
Rue de Châteaudun, rue Buffault;48.87578345;2.3420178
Quai Voltaire, pont du Carrousel;48.8586269;2.3320972
Place Franz Liszt, rue La Fayette;48.8779289394665;2.35166251131498
Rue de Rome, rue Cardinet;48.8873505;2.3141215
Boulevard Poissonnière, rue Montmartre;48.871489;2.3430679
Avenue de France, rue de Tolbiac;48.8306416;2.3767523
Rue Victor Cousin, rue Cujas;48.8478175;2.3424223
Rue Danielle Casanova, avenue de l'Opéra;48.8675112;2.3336619
Rue Raymond Losserand, rue d'Alésia;48.8318162;2.3141451
Rue Bisson, rue de Pali-Kao;48.8706219;2.3824484
Rue du Faubourg du Temple, rue de Malte;48.8681508;2.3654095
Place de l'Opéra, rue Auber;48.8710751;2.3318505
Boulevard Saint-Denis, boulevard de Sébastopol;48.86932225;2.354218775
Avenue Pierre de Coubertin, boulevard Kellermann;48.8194089;2.3445901
Place Auguste Baron, avenue de la Porte de la Villette;48.900659275;2.3889226
Boulevard Ornano, rue Ordener;48.8915753;2.3496042
Rue du Vertbois, rue de Turbigo;48.8664224;2.3603077
Rue des Bernardins, quai de la Tournelle;48.8511131;2.351303
Rue du Faubourg du Temple, boulevard de la Villette;48.8720092;2.3768003
Boulevard Poissonnière, rue du Sentier;48.8708809;2.3467356
Rue Vercingétorix, rue Pernety;48.835476175;2.3154343
Boulevard Soult, avenue de la Porte de Vincennes;48.8471384;2.4112682
Boulevard Macdonald, avenue de la Porte de la Villette;48.8982596236067;2.38617538593872
Rue de la Convention, rue Saint-Charles;48.8434474;2.282755
Place du Maroc, rue du Maroc;48.8864731;2.3693408
Boulevard Ney, rue des Poissonniers;48.89830945;2.352501175
Rue Julien Lacroix, rue des Couronnes;48.8702071;2.3844563
Avenue Raphaël, boulevard Suchet;48.8619196666667;2.2677212
Rue de Rennes, rue du Four;48.8524605;2.3319308
Rue Raymond Losserand, rue Pernety;48.8339619;2.318143
Rue de Charonne, boulevard de Charonne;48.8565171666667;2.3942659
Boulevard de Reuilly, rue Taine;48.8393725;2.3939144
Rue de l'Orillon, boulevard de Belleville;48.8707368;2.3781429
Boulevard Haussmann, rue Le Peletier;48.8722422;2.3382998
Rue Boinod, rue du Simplon;48.8936049;2.3510305
Rue de Nantes, rue Barbanègre;48.8916607;2.3823987
Rue du Petit Musc, rue Saint-Antoine;48.8536755;2.3656218
Place de la République, boulevard Voltaire;48.8667216;2.3651351
